Word,POS_Tag,Fine_Tag,Lemma,Category,Sentence_No
commissioning,NOUN,NN,commissioning,Noun,27
period,NOUN,NN,period,Noun,27
scientists,NOUN,NNS,scientist,Noun,27
will,AUX,MD,will,Verb,27
run,VERB,VB,run,Verb,27
instruments,NOUN,NNS,instrument,Noun,27
series,NOUN,NN,series,Noun,27
calibrations,NOUN,NNS,calibration,Noun,27
tests,NOUN,NNS,test,Noun,27
NASA,PROPN,NNP,NASA,Noun,28
anticipates,VERB,VBZ,anticipate,Verb,28
releasing,VERB,VBG,release,Verb,28
Roman,PROPN,NNP,Roman,Noun,28
images,NOUN,NNS,image,Noun,28
Roman,PROPN,NNP,Roman,Noun,29
will,AUX,MD,will,Verb,29
send,VERB,VB,send,Verb,29
terabytes,NOUN,NNS,terabyte,Noun,29
data,NOUN,NNS,datum,Noun,29
day,NOUN,NN,day,Noun,29
data,NOUN,NN,data,Noun,29
rate,NOUN,NN,rate,Noun,29
NASA,PROPN,NNP,NASA,Noun,29
astrophysics,NOUN,NNS,astrophysic,Noun,29
mission,NOUN,NN,mission,Noun,29
Machine,NOUN,NN,machine,Noun,30
learning,NOUN,NN,learning,Noun,30
intelligence,NOUN,NN,intelligence,Noun,30
citizen,NOUN,NN,citizen,Noun,30
scientists,NOUN,NNS,scientist,Noun,30
will,AUX,MD,will,Verb,30
help,VERB,VB,help,Verb,30
sift,VERB,VB,sift,Verb,30
flag,VERB,VB,flag,Verb,30
findings,NOUN,NNS,finding,Noun,30
astronomers,NOUN,NNS,astronomer,Noun,30
can,AUX,MD,can,Verb,30
study,VERB,VB,study,Verb,30
've,AUX,VBP,have,Verb,31
been,AUX,VBN,be,Verb,31
view,VERB,VB,view,Verb,31
universe,NOUN,NN,universe,Noun,31
eyes,NOUN,NNS,eye,Noun,31
Roman,PROPN,NNP,Roman,Noun,31
said,VERB,VBD,say,Verb,31
Julie,PROPN,NNP,Julie,Noun,31
McEnery,PROPN,NNP,McEnery,Noun,31
Roman,PROPN,NNP,Roman,Noun,31
project,NOUN,NN,project,Noun,31
scientist,NOUN,NN,scientist,Noun,31
NASA,PROPN,NNP,NASA,Noun,31
Goddard,PROPN,NNP,Goddard,Noun,31
's,VERB,VBZ,be,Verb,32
telling,NOUN,NN,telling,Noun,32
'll,AUX,MD,will,Verb,32
know,VERB,VB,know,Verb,32
have,AUX,VBP,have,Verb,32
seen,VERB,VBN,see,Verb,32
time,NOUN,NN,time,Noun,32
year,NOUN,NN,year,Noun,32
Roman,PROPN,NNP,Roman,Noun,33
is,AUX,VBZ,be,Verb,33
mission,NOUN,NN,mission,Noun,33
NASA,PROPN,NNP,NASA,Noun,33
has,AUX,VBZ,have,Verb,33
launched,VERB,VBN,launch,Verb,33
Falcon,PROPN,NNP,Falcon,Noun,33
Heavy,PROPN,NNP,Heavy,Noun,33
rocket,NOUN,NN,rocket,Noun,33
year,NOUN,NN,year,Noun,34
agency,NOUN,NN,agency,Noun,34
Launch,PROPN,NNP,Launch,Noun,34
Services,PROPN,NNPS,Services,Noun,34
Program,PROPN,NNP,Program,Noun,34
worked,VERB,VBD,work,Verb,34
SpaceX,PROPN,NNP,SpaceX,Noun,34
accelerate,VERB,VB,accelerate,Verb,34
launch,NOUN,NN,launch,Noun,34
date,NOUN,NN,date,Noun,34
accommodate,VERB,VB,accommodate,Verb,34
space,NOUN,NN,space,Noun,34
telescope,NOUN,NN,telescope,Noun,34
completion,NOUN,NN,completion,Noun,34
telescope,NOUN,NN,telescope,Noun,35
is,AUX,VBZ,be,Verb,35
managed,VERB,VBN,manage,Verb,35
NASA,PROPN,NNP,NASA,Noun,35
Goddard,PROPN,NNP,Goddard,Noun,35
participation,NOUN,NN,participation,Noun,35
agency,NOUN,NN,agency,Noun,35
Jet,PROPN,NNP,Jet,Noun,35
Propulsion,PROPN,NNP,Propulsion,Noun,35
Laboratory,PROPN,NNP,Laboratory,Noun,35
Southern,PROPN,NNP,Southern,Noun,35
California,PROPN,NNP,California,Noun,35
Caltech,NOUN,NN,caltech,Noun,35
IPAC,PROPN,NNP,IPAC,Noun,35
Pasadena,PROPN,NNP,Pasadena,Noun,35
California,PROPN,NNP,California,Noun,35
Space,PROPN,NNP,Space,Noun,35
Telescope,PROPN,NNP,Telescope,Noun,35
Science,PROPN,NNP,Science,Noun,35
Institute,PROPN,NNP,Institute,Noun,35
Baltimore,PROPN,NNP,Baltimore,Noun,35
team,NOUN,NN,team,Noun,35
scientists,NOUN,NNS,scientist,Noun,35
research,NOUN,NN,research,Noun,35
institutions,NOUN,NNS,institution,Noun,35
partners,NOUN,NNS,partner,Noun,36
are,AUX,VBP,be,Verb,36
